Target Schema,Target Table,Column Name,Ordinal
TBAADM,CUST_XCHG_RT_DISC_MOD_TBL,,1
TBAADM,CUST_XCHG_RT_DISC_TBL,,1
TBAADM,CUST_ZAKAT_HIST_TABLE,,1
TBAADM,CUSTOM_SRGPM_TBL,,1
TBAADM,CUSTOMER_FACILITY_TABLE,,1
TBAADM,CUSTOMER_LEVEL_TAX_DETAILS,,1
TBAADM,CUTOFTIME_VALDT_TABLE,,1
TBAADM,DAILY_TRAN_DETAIL_TABLE,,1
TBAADM,DAILY_TRAN_DTL_TMP_TABLE,,1
TBAADM,DAILY_TRAN_HEADER_TABLE,,1
TBAADM,DATE_SHIFT_TABLE,,1
TBAADM,DBCON_DETAIL_TBL,,1
TBAADM,DBCON_HEADER_TBL,,1
TBAADM,DC_ALLOCATION_DTLS_TABLE,,1
TBAADM,DC_ALLOCATION_HISTORY_TBL,,1
TBAADM,DC_ALLOCATION_MOD_TABLE,,1
TBAADM,DC_AMENDMENT_TABLE,,1
TBAADM,DC_BILL_ALLOC_HISTORY_TBL,,1
TBAADM,DC_BILL_ALLOC_MOD_TBL,,1
TBAADM,DC_BILL_ALLOC_TBL,,1
TBAADM,DC_EVENTS_TABLE,,1
TBAADM,DC_INCIDENTS_TABLE,,1
TBAADM,DC_MAST_MAIN_TABLE,,1
TBAADM,DC_MAST_MOD_TABLE,,1
TBAADM,DC_REGISTER_MAIN_TABLE,,1
TBAADM,DC_TEXT_MAIN_TABLE,,1
TBAADM,DC_TEXT_MOD_TABLE,,1
TBAADM,DC_TRAN_INQ_TABLE,,1
TBAADM,DC_UPLOAD_TABLE,,1
TBAADM,DD_CREDITS_TABLE,,1
TBAADM,DD_DEBITS_TABLE,,1
TBAADM,DD_MASS_OPERATION_TABLE,,1
TBAADM,DD_NUMBER_TABLE,,1
TBAADM,DD_SCHEME_TABLE,,1
TBAADM,DD_STATUS_MOD_TABLE,,1
TBAADM,DD_STATUS_TABLE,,1
TBAADM,DEBIT_AUTH_MOD_TABLE,,1
TBAADM,DEF_CHRG_DET_MOD_TABLE,,1
TBAADM,DEF_CHRG_DETAIL_TBL,,1
TBAADM,DEFERRED_CHARGES_TABLE,,1
TBAADM,DENOMINATION_LIEN_MOD_TBL,,1
TBAADM,DENOMINATION_LIEN_TABLE,,1
TBAADM,DEPOSIT_RECEIPT_MOD_TABLE,,1
TBAADM,DEPOSIT_RECEIPT_TABLE,,1
TBAADM,DEV_PROFILE_DTLS_TABLE,,1
TBAADM,DEV_TERM_PROFILE_TABLE,,1
TBAADM,DISBH_TABLE,,1
TBAADM,DISCRET_ADVN_REF_TABLE,,1
TBAADM,DISCRET_ADVN_TABLE,,1
TBAADM,DPD_CYCLE_HISTORY_TABLE,,1
TBAADM,DPD_CYCLE_INFO_TABLE,,1
TBAADM,DPD_CYCLE_SETUP_TABLE,,1
TBAADM,DRWNG_POWER_HIST_MOD_TBL,,1
TBAADM,DRWNG_POWER_HIST_TBL,,1
